区分名称,予備区分名称,生活習慣病フラグ,救急フラグ,データ区分,大項目,FHIR項目名称,FHIR識別文字列,略称,販売名称,材料(JLAC11),測定法(JLAC11),JLAC11コード,単位,材料(JLAC10),検査方法(JLAC10-測定法),JLAC10コード,基準値フラグ(下限),基準値フラグ(上限),基準値フラグ(判定),データタイプ,値の下限,値の上限,数値型の場合の形式,コード型の場合の値リスト,コード型のOID,並び順,適用開始日,適用終了日,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,アクアオート カイノス TP-Ⅱ試薬,血漿,可視吸光光度法_アクアオート カイノス TP-Ⅱ試薬,C1002000024002155,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ピュアオートS TP,血清,可視吸光光度法_ピュアオートS TP,C1002000025002255,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ピュアオートS TP,血漿(EDTA入り),可視吸光光度法_ピュアオートS TP,C1002000024202255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ピュアオートS TP,血漿(ヘパリン入り),可視吸光光度法_ピュアオートS TP,C1002000024302255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ピュアオートS TP,血漿(クエン酸入り),可視吸光光度法_ピュアオートS TP,C1002000024402255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ピュアオートS TP,血漿,可視吸光光度法_ピュアオートS TP,C1002000024002255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,クオリジェント TP-N,血清,可視吸光光度法_クオリジェント TP-N,C1002000025002355,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,クオリジェント TP-N,血漿(EDTA入り),可視吸光光度法_クオリジェント TP-N,C1002000024202355,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,クオリジェント TP-N,血漿(ヘパリン入り),可視吸光光度法_クオリジェント TP-N,C1002000024302355,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,クオリジェント TP-N,血漿(クエン酸入り),可視吸光光度法_クオリジェント TP-N,C1002000024402355,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
